DBSCAN_labels,Key,Title,Link,Content
1,NBC_2,Election 2024 live updates: Trump holds first rally since his shooting; Democrats grapple with Biden woes,https://www.nbcnews.com/politics/2024-election/live-blog/trump-biden-president-election-live-updates-rcna162646,"Megan Lebowitz
Vaughn Hillyard
One week after a bullet nearly took his life, former President Donald Trump delivered a speech filled with divisive rhetoric that was largely in line with his usual tone.
Despite Trump having told reporters that he would pivot to a message of unity, the former president used his Saturday speech in Grand Rapids, Michigan, to call President Joe Biden and Vice President Kamala Harris names, refer to Biden’s allies as “thugs,” argue without evidence that Democrats cheated in the 2020 election, and characterize migrants as coming from prisons, jails and mental institutions.
Read the full story here.
Mike Memoli
Kelly O'Donnell
As President Joe Biden faces a wave of new calls from elected officials to end his re-election bid, his political allies are actively exploring ways to publicly demonstrate he still has widespread support among key elements of the Democratic Party’s base, according to three Democrats familiar with the discussions.
The new effort is aimed at turning the pressure campaign against Biden back on party insiders by seizing on anger and frustration among some voters who feel disenfranchised by attempts to push the candidate they cast their ballots for aside, the Democrats said.
Read the full story here.Megan Lebowitz
Vaughn Hillyard
One week after a bullet nearly took his life, former President Donald Trump delivered a speech filled with divisive rhetoric that was largely in line with his usual tone.
Despite Trump having told reporters that he would pivot to a message of unity, the former president used his Saturday speech in Grand Rapids, Michigan, to call President Joe Biden and Vice President Kamala Harris names, refer to Biden’s allies as “thugs,” argue without evidence that Democrats cheated in the 2020 election, and characterize migrants as coming from prisons, jails and mental institutions.
Read the full story here.Mike Memoli
Kelly O'Donnell
As President Joe Biden faces a wave of new calls from elected officials to end his re-election bid, his political allies are actively exploring ways to publicly demonstrate he still has widespread support among key elements of the Democratic Party’s base, according to three Democrats familiar with the discussions.
The new effort is aimed at turning the pressure campaign against Biden back on party insiders by seizing on anger and frustration among some voters who feel disenfranchised by attempts to push the candidate they cast their ballots for aside, the Democrats said.
Read the full story here."
1,NBC_12,"Democrats praise Biden's achievements as president, with some endorsing Harris as his successor",https://www.nbcnews.com/politics/joe-biden/democrats-praise-bidens-achievements-president-endorsing-harris-succes-rcna162932,"WASHINGTON — Top Democrats on Sunday praised President Joe Biden for his accomplishments in the White House after he ended his re-election campaign, with some following his lead by expressing support for Vice President Kamala Harris to take his place as the party’s 2024 presidential nominee.
Many Republicans, meanwhile, said that Biden’s decision means he shouldn’t continue serving the rest of his term in the White House, which ends in January.
After Biden announced he was exiting the presidential race in a letter Sunday afternoon, he endorsed Harris in a post on X. Harris said in a statement later on that she’s honored to have earned Biden’s endorsement and said her “intention is to earn and win this nomination.”
Harris celebrated Biden and his legacy, saying it’s “unmatched in modern American history, surpassing the legacy of many Presidents who have served two terms in office.”
“With this selfless and patriotic act, President Biden is doing what he has done throughout his life of service: putting the American people and our country above everything else,” she said.
Follow live updates on Biden’s exit from the 2024 election
The top Democratic leaders in Congress, however, didn’t offer an endorsement of Harris — or any other candidate.
Senate Majority Leader Chuck Schumer, D-N.Y., said in a statement, that Biden “has not only been a great president and a great legislative leader but he is a truly amazing human being.”
“Joe, today shows you are a true patriot and great American,” said Schumer, who served with Biden in the Senate and spoke to him Sunday afternoon, according to a source familiar with their conversation.
House Democratic Leader Hakeem Jeffries, D-N.Y., who until Sunday had been supportive of Biden remaining in the race, said the president is “one of the most accomplished and consequential leaders in American history,” pointing to his handling of Covid and the economy and defeating Trump in 2020.
Former House Speaker Nancy Pelosi, D-Calif., who has significant influence in the party, said in a post on X that “God blessed America with Joe Biden’s greatness and goodness.”
“President Joe Biden is a patriotic American who has always put our country first. His legacy of vision, values and leadership make him one of the most consequential Presidents in American history,” she wrote. “With love and gratitude to President Biden for always believing in the promise of America and giving people the opportunity to reach their fulfillment.”
Pelosi had been hinting since Biden’s devastating debate performance that she was concerned about his prospects in November.
Former President Barack Obama touted Biden’s accomplishments in a lengthy statement, ranging from helping end the pandemic to creating millions of jobs to enacting the first major piece of gun safety legislation in 30 years.
“More than that, President Biden pointed us away from the four years of chaos, falsehood, and division that had characterized Donald Trump’s administration,” Obama wrote. “For him to look at the political landscape and decide that he should pass the torch to a new nominee is surely one of the toughest in his life. But I know he wouldn’t make this decision unless he believed it was right for America. It’s a testament to Joe Biden’s love of country  —  and a historic example of a genuine public servant once again putting the interests of the American people ahead of his own that future generations of leaders will do well to follow.”
Obama didn’t endorse anyone for the Democratic nomination in his statement.
In a joint statement, former President Bill Clinton and former Secretary of State Hillary Clinton said that they are “honored to join the President in endorsing Vice President Harris and will do whatever we can to support her.”
“We’ve lived through many ups and downs, but nothing has made us more worried for our country than the threat posted by a second Trump term,” they warned.
Biden decided not to run for president in the 2016 cycle against Hillary Clinton, who went on to become the Democratic presidential nominee, but lost to Donald Trump.
Rep. James Clyburn, D-S.C., a former member of Democratic leadership who was credited with helping to turn Biden’s 2020 primary campaign around and propel him to the nomination, endorsed Harris for president on Sunday. 
“I echo the good judgment [Biden] demonstrated in selecting Vice President Harris to lead this nation alongside him, and I am proud to follow his lead in support of her candidacy to succeed him as the Democratic Party’s 2024 nominee for President,” Clyburn wrote.
The South Carolina Democrat, a key member of the Congressional Black Caucus, said he’s had the honor and privilege of calling Biden a friend for many years. 
“President Biden has improved the lives of countless Americans through his selfless service, and I thank him for his unparagoned leadership,” he said, listing many of Biden’s accomplishments as president. 
Presidential historian and former journalist Jon Meacham, who has helped write key speeches for Biden in the White House, said in an interview on MSNBC on Sunday that Biden’s withdrawal is a “singular moment in the history of the American presidency” for a man who “has given the lion’s share of his life to the service of the republic.”
“It tells us a lot about what he truly values — President Biden has decided that this campaign is not about him but about us,” he said. “It’s not about personal ambition, it’s about the durability and viability of the constitutional order that so many of us believe could be in danger as events unfold.”
Trump, for his part, wrote in a post on Truth Social that “Crooked Joe Biden was not fit to run for President, and is certainly not fit to serve — And never was!”
Trump claimed that Biden “attained” the job as president “by lies, Fake News, and not leaving his Basement.” He went to say, “We will suffer greatly because of his presidency, but we will remedy the damage he has done very quickly. MAKE AMERICA GREAT AGAIN!”
House Speaker Mike Johnson, R-La., called on Biden to resign as president, a message shared by other Republican lawmakers on Sunday.
“If Joe Biden is not fit to run for President, he is not fit to serve as President,” Johnson said. “He must resign the office immediately. November 5 cannot arrive soon enough.”
Senate Minority Leader Mitch McConnell, R-Ky., who served in the Senate with Biden and worked with him to reach compromises in negotiations on a variety of pieces of legislation, said in a statement that the country is “less prosperous and less secure than it was in January, 2021.”
“We cannot afford four more years of failure,” said McConnell, who criticized Democrats for pushing Biden out of the race by saying they have been “trying to upend the expressed will of the American people in primary elections across the country.”Rebecca Shabad is a politics reporter for NBC News based in Washington."
1,FOX_19,Biden endorses Kamala Harris after bowing out of 2024 race,https://www.foxnews.com/politics/biden-endorses-kamala-harris-after-bowing-out-2024-race,"Fox News Chief Political Anchor Bret Baier on the announcement that President Biden is dropping out of the 2024 presidential race.
President Biden endorsed Vice President Kamala Harris after announcing he is dropping out of the 2024 run for re-election. 
""My fellow Democrats, I have decided not to accept the nomination and to focus all my energies on my duties as President for the remainder of my term,"" Biden posted on X Sunday afternoon 
""My very first decision as the party nominee in 2020 was to pick Kamala Harris as my Vice President. And it’s been the best decision I’ve made. Today I want to offer my full support and endorsement for Kamala to be the nominee of our party this year. Democrats — it’s time to come together and beat Trump. Let’s do this,"" he continued. 
Biden announced just minutes before he endorsed Harris that he is dropping out of the presidential race. 
BIDEN ENDS BID FOR SECOND TERM IN WHITE HOUSE AS HE DROPS OUT OF HIS 2024 REMATCH WITH TRUMP
Vice President Kamala Harris speaks at a campaign rally on June 28, 2024, in Las Vegas.  (Bizuayehu Tesfaye/Las Vegas Review-Journal/Tribune News Service via Getty Images)
""It has been the greatest honor of my life to serve as your President. And while it has been my intention to seek re-election, I believe it is in the best interest of my party and the country for me to stand down and to focus solely on fulfilling my duties as President for the remainder of my term,"" Biden said in his letter posted to X Sunday afternoon. 
Biden continued that he will address the nation in detail on the decision ""later this week."" As of Sunday afternoon, Harris has not tweeted about Biden dropping out. 
BIDEN DEFIANTLY CHARGES AHEAD WITH ELECTION RUN DESPITE SPECULATION HE WOULD DROP OUT THIS WEEKEND
President Joe Biden speaks during a campaign event at the Martin Luther King Recreation Center in Philadelphia, Pennsylvania, US, on Thursday, April 18, 2024. (Hannah Beier/Bloomberg via Getty Images)
He thanked Harris for her work in the administration, but stopped short of offering her his endorsement in his initial letter. Harris has been considered the top choice to replace Biden ahead of the president officially dropping out. 
Democrats' calls had mounted for weeks that Biden should drop out of the race, following his disastrous debate performance on June 27, which put his mental fitness under further scrutiny as he stumbled over his words and appeared more subdued than in previous years. 
As early as Sunday morning, however, Biden allies and the campaign doubled down that the president would not bow out of the race. 
TRUMP GETS BOOST IN POLLS AFTER BIDEN'S BOTCHED DEBATE 
""It is false. And I think that it is false to continue to try to gin up this narrative. Joe Biden has said he is in this race,"" deputy campaign manager Quentin Fulks said on MSNBC on Sunday. ""He is in this race to win it. He is instructing us to continue to carry out a plan to make sure that we are communicating [to as] many voters as possible. Actions speak louder than words, although sometimes, in this case, I wish that our words would speak louder so that people would stop asking this question. But we are doing both. The president has doubled down and said that he is running in this race to win it, and that he is not going anywhere.""
President Biden and former President Trump. ( Win McNamee/Getty Images/Michael M. Santiago/Getty Images)
Biden dropping out comes as former President Trump was officially nominated as the Republican Party's choice for president. Trump joined the Republican National Convention in Milwaukee, Wisconsin, last week, where he announced Ohio Sen. JD Vance as his running mate and accepted the nomination. 
The RNC was held just two days after an assassination attempt nearly ended Trump's life, leaving him with an injury to his right ear. A shooter opened fire on Trump's rally in Butler, Pennsylvania, last Saturday, injuring Trump and two others, and killing a 50-year-old married dad who was protecting his wife and family from the gunfire. 
SEN. JOE MANCHIN CALLS ON BIDEN TO STEP ASIDE, PASS TORCH TO 'A NEW GENERATION'
Former US President Donald Trump arrives to the Republican National Convention (RNC) at the Fiserv Forum in Milwaukee, Wisconsin, US, on Wednesday, July 17, 2024. The RNC chairman warned against complacency when his party concludes its official nominating jamboree this week with polls predicting ex-President Donald Trump prevailing over President Joe Biden in the November election.   (David Paul Morris/Bloomberg via Getty Images)
Trump addressed the shooting in his highly-anticipated RNC speech, while noting ""you'll never hear it from me a second time, because it's actually too painful to tell."" 
KAMALA HARRIS REASSURES DEMOCRATIC PARTY DONORS THAT THERE'S NOTHING TO WORRY ABOUT
""I'm not supposed to be here tonight,"" he said. ""I stand before you in this arena only by the grace of almighty God. And watching the reports over the last few days, many people say it was a providential moment. Probably was.""
CLICK TO GET THE FOX NEWS APP
""For the rest of my life, I will be grateful for the love shown by that giant audience of patriots that stood bravely on that fateful evening in Pennsylvania,"" he added. "
1,CNN_27,Biden endorses Harris to be the next Democratic presidential nominee,https://edition.cnn.com/2024/07/21/politics/kamala-harris-biden-endorsement-democratic-nominee/index.html,"
            President Joe Biden has thrown his support behind Vice President Kamala Harris to become the next Democratic nominee for president after announcing Sunday he is dropping out of the race.
    

            Should Harris officially become the party’s standard-bearer, she would be the first Black woman and first Asian American to lead the ticket of a major political party.
    

            The historic endorsement comes after weeks of disarray within the Democratic Party, following a disastrous debate performance by Biden that called into question his ability to win a second term and govern for another four years. Biden ended his campaign Sunday amid growing calls from members of his party to step aside.
    

            Logistically, Harris is the natural heir to the ticket as Biden’s running mate. She would inherit the Biden campaign’s massive political operation and war chest. Recent polling has also shown her performing better against former President Donald Trump, the Republican nominee, than Biden and other potential Democratic contenders.
    

            Should there be efforts to pass over Harris in favor of Democrats seen as likely to run in 2028, there may be backlash from the vice president’s supporters and prominent Black Democrats. But Harris has also experienced something of a renaissance within her party, as Democrats showered her with praise in the days following the debate.
    

            Throughout her vice presidency, Harris has struggled to define herself while juggling an issue portfolio that has included difficult topics such as voting rights and stemming the tide of migrants coming from Central America. On the former, an effort to bolster the Voting Rights Act failed in Congress. On migration, Harris was criticized on the right for not spending enough time on the border and on the left for telling migrants in a speech, “Do not come.”
    

            As recently as last year, some Democrats were worried that negative views of Harris could hurt the ticket, prompting prominent Democrats to urge the party to stop undermining her.
    

            But in the weeks since Biden’s June debate performance, Harris has settled into a groove, becoming a key surrogate for Biden’s reelection campaign on reproductive health as the campaign put it, the threat Trump poses to democracy.
    

            Harris allies have argued that much of the criticism is a result of racism and sexism against the country’s first woman of color in such a position. Now, they say, the country is seeing in Harris what her allies have seen for years.
    

            “Oftentimes Black women are not seen until they’re needed,” said LaTosha Brown, a co-founder of Black Voters Matter, a progressive group that works to boost Black voter turnout. “We’ve seen her constantly berated, marginalized, questioned. I think that the shift is because there’s a need.”
    "
1,WaPo_5,"Election 2024 live updates: Calls mount for Biden to step aside; Trump, Vance had rally in Michigan",https://www.washingtonpost.com/elections/2024/07/20/election-2024-biden-trump-campaign-updates/,"Calls from fellow Democrats are continuing to mount for President Biden to exit the presidential race even as his campaign insists he will remain the party’s nominee. More than 35 congressional Democrats have called for Biden to step aside, according to a Washington Post tally. Former president Donald Trump and his running mate, Sen. J.D. Vance (R-Ohio), held a rally Saturday in the battleground state of Michigan. Vice President Harris spoke at a fundraiser in Cape Cod, Mass., as Biden remains sidelined after testing positive this week for the coronavirus."
1,WaPo_61,"Election 2024 live updates: Biden steps aside as Democratic nominee, endorses Harris",https://www.washingtonpost.com/elections/2024/07/21/election-2024-biden-trump-campaign-updates/,"President Biden is ending his presidential campaign, a momentous decision that upends the 2024 presidential race, and is endorsing Vice President Harris for the top of the ticket."
3,NBC_4,Secret Service denied requests for more security at Trump events before attempted assassination,https://www.nbcnews.com/politics/donald-trump/secret-service-denied-requests-security-resources-trump-events-rcna162888,"The Secret Service repeatedly denied requests for more personnel and other security resources from agents guarding former President Donald Trump prior to the assassination attempt on the candidate at a July 13 rally in Butler, Pennsylvania, a Secret Service official told NBC News.
The earlier requests for additional resources, which stretched over two years, could not be fully accommodated because the Secret Service lacked the resources to fulfill them, the official said.
“The Secret Service has a vast, dynamic, and intricate mission. Every day we work in a dynamic threat environment to ensure our protectees are safe and secure across multiple events, travel, and other challenging environments,” said Anthony Guglielmi, a spokesperson for the Secret Service. “We execute a comprehensive and layered strategy to balance personnel, technology, and specialized operational needs.”
“In some instances where specific Secret Service specialized units or resources were not provided, the agency made modifications to ensure the security of the protectee,” he added. “This may include utilizing state or local partners to provide specialized functions or otherwise identifying alternatives to reduce public exposure of a protectee.”
The day after Trump was wounded by a 20-year-old gunman, Guglielmi said claims that resource requests from Trump’s Secret Service detail had been denied were “absolutely false.”
The Washington Post was first to report that the Secret Service had repeatedly denied requests for additional security at Trump events for two years prior to his attempted assassination.
The Post reported that Secret Service agents assigned to Trump had requested magnetometers and additional agents to assist with security screenings of attendees at large public gatherings Trump attended, as well as more snipers and specialty teams at other outdoor events.
The revelation that the Secret Service repeatedly turned down additional resources requested from agents guarding Trump comes as the agency experiences a decadelong staffing shortfall, as previously reported by NBC News.
Despite a near doubling of the Secret Service’s budget in recent years, the personnel shortage has continued. The number of senior officials requiring security has also increased as the potential threats against them have diversified.
The Secret Service and federal and local law enforcement agencies have struggled with recruitment in the wake of the police murder of George Floyd. Lengthy Secret Service background checks, which can take up to a year, have also delayed hiring.
The agency has also struggled to retain experienced agents due to the high pressure and grueling nature of the work, as well as the lure of higher salaries in the private sector.Julia Ainsley is the homeland security correspondent for NBC News and covers the Department of Homeland Security for the NBC News Investigative Unit.
Summer Concepcion is a politics reporter for NBC News."
3,FOX_5,Secret Service responds to report they 'repeatedly' denied requests to Trump security detail in the past,https://www.foxnews.com/us/secret-service-responds-report-repeatedly-denied-requests-trump-security-detail-past,"'Jesse Watters Primetime' previews its exclusive interview with former President Trump and running mate Sen. JD Vance.
The U.S. Secret Service recently responded to a Washington Post report that claimed the agency's top officials ""repeatedly"" denied requests to former President Trump's security detail.
The report comes exactly a week after former President Donald Trump was shot in Butler, Pennsylvania, while speaking at a rally, prior to his 2024 presidential nomination at the Republican National Convention in Milwaukee. 
The gunman, Thomas Matthew Crooks, had been observed by attendees before the shooting began.
The Post reported that, before the July 13 assassination attempt on Trump, top Secret Service officials ""repeatedly"" denied requests for tighter security measures from Trump's detail. An official granted the interview to the media outlet on the condition of anonymity.
According to the report, agents tasked with protecting Trump requested additional security resources in the past. These requests involved things such as magnetometers or a larger number of personnel to screen guests. Additional snipers had also reportedly been requested in the past.
WATCH: THOUSANDS DESCEND ON MICHIGAN TOWN FOR FIRST TRUMP RALLY SINCE FAILED ASSASSINATION ATTEMPT
Republican presidential candidate Donald Trump is seen with blood on his face surrounded by Secret Service agents as he is taken off the stage at a campaign event at the Butler Farm Show grounds in Butler, Pa., July 13, 2024.   (Rebecca Droke/AFP via Getty Images)
Senior officials reportedly told the agents that the Secret Service lacked the resources to fulfill the requests. The Post reviewed multiple requests, but none of them pertained to the Butler rally. 
On Saturday night, the Secret Service released a statement obtained by Fox News Digital explaining that the agency ""has a vast, dynamic, and intricate mission.""
""Every day we work in a dynamic threat environment to ensure our protectees are safe and secure across multiple events, travel, and other challenging environments,"" the statement read. ""We execute a comprehensive and layered strategy to balance personnel, technology, and specialized operational needs.""
The Secret Service also added that, even if a request is denied, the agency still tries to accommodate in some form to ensure the safety of whoever is being protected.
RNC DELEGATES, GUESTS MAKE PREDICTIONS ABOUT BIDEN'S POLITICAL FUTURE AMID REPORTS HE MIGHT EXIT 2024 RACE
Republican presidential candidate former President Donald Trump is covered by Secret Service agents after being shot on stage at a campaign rally in Butler, Pa. (AP Photo/Evan Vucci)
""In some instances where specific Secret Service specialized units or resources were not provided, the agency made modifications to ensure the security of the protected,"" the statement added. ""This may include utilizing state or local partners to provide specialized functions or otherwise identifying alternatives to reduce public exposure of a protectee.""
In an interview that will premiere on Fox News Channel on Monday night at 8 p.m. ET, Trump told host Jesse Watters that he was never warned about Crooks, despite the fact that the gunman had been noticed.
""How did somebody get on that roof?"" Trump asked Watters. ""And why wasn't he reported, because people saw he was on that roof.""
Republican presidential candidate former President Donald Trump raises his arm as he is rushed offstage by Secret Service in Butler, Pa.  (Anna Moneymaker/Getty Images)
CLICK HERE TO GET THE FOX NEWS APP
""When you have Trumpers screaming, the woman in the red shirt, 'There's a man on the roof,' and other people, 'There's a man on the roof and who's got a gun,'…that was quite a bit before I walked on the stage. And I would've thought someone would've done something about it,"" he added.
Andrea Vacchiano is a breaking news writer for Fox News Digital and Fox Business. You can follow her on X at @andrea_vacch or send story tips to andrea.vacchiano@fox.com."
4,NBC_5,Sen. Joe Manchin joins calls for Biden to drop out of the 2024 race,https://www.nbcnews.com/politics/2024-election/sen-joe-manchin-biden-drop-out-presidential-race-rcna162892,"Sen. Joe Manchin, I-W.Va., on Sunday joined growing calls for President Joe Biden to drop out of the presidential race.
Manchin, who left the Democratic Party in May but continues to caucus with Democrats, said that during the first week after the president’s poor June debate performance, he initially thought Biden “needed time to evaluate and make a decision if he was going to at that time.”
“And then I thought, well, we’d hear from my colleagues who are in very difficult, challenging areas of the country, whether it be in Congress, as far as their districts, or in the states, as far as my senators, and they’re speaking out now,” he said in an interview on ABC News’ “This Week.” “And then when you see the donor class, basically, speaking up and saying that they went a different direction, if you will.”
Manchin said he believes that if Biden exits the race now, it would allow him to address a series of key issues, and his departure would give him the chance to “show the rest of the world the orderly transfer of power from the superpower of the world.”
“He will go down with a legacy unlike many people, as one of the finest and truly a [patriotic] American,” Manchin said. “So, with that, I come with a heavy heart to think the time has come for him to pass the torch to a new generation.”
Manchin called for an open process to replace Biden on the Democratic presidential ticket and suggested Pennsylvania Gov. Josh Shapiro and Kentucky Gov. Andy Beshear as potential nominees.
“It’s time, it’s just time,” Manchin said.
Manchin, who had decided against launching a presidential bid against Biden, blamed “both sides” for escalating rhetoric that led to the attempted assassination of former President Donald Trump at a July 13 rally in Butler, Pennsylvania.
“This should be a wake-up call for all of us,” Manchin said. “I am angry, as I know others are, that we are in this position. We must acknowledge that both sides share responsibility for where we are and where we go from here.”
Manchin, however, acknowledged Biden’s “irreparable” debate performance and criticized Democrats voicing their support for the president after the debate.
“At a time when the Democratic Party must realize they risk losing the Senate and even the House, in addition to losing the presidency, they are doing nothing to broaden the tent and appeal to more Americans,” Manchin said. “Instead, they continue to pull the party to the left. Sadly, their vocal support for President Biden in the face of his irreparable debate performance are just evidence of how much control the far left has over the current administration.”
Manchin joins four Democratic senators who have called for Biden to exit the race.
Sen. Peter Welch, D-Vt., was the first Democratic senator to call for Biden to end his re-election bid. Welch, a fixture in Vermont politics, argued that Biden should exit the race “for the good of the country” in an opinion piece published in The Washington Post this month.
Sen. Jon Tester, D-Mont., who is running for re-election in one of the most vulnerable Senate seats for Democrats, also called on Biden to depart the race. Tester said in a statement that while he appreciates Biden’s “commitment to public service and our country,” Biden shouldn’t seek re-election. He said that he has worked with Biden “when it has made Montana stronger, and I’ve never been afraid to stand up to him when he is wrong.”
Sens. Martin Heinrich of New Mexico and Sherrod Brown of Ohio have also pushed for Biden to exit the race. More than 30 congressional Democrats thus far have said they want a nominee to replace Biden on the Democratic presidential ticket.
However, members of the Congressional Black Caucus and BOLD PAC, the political arm of the Congressional Hispanic Caucus, have continued to voice their support for Biden’s re-election campaign.
The president and his campaign have maintained that he has no intention to drop out of the race. In a statement Sunday, Mia Ehrenberg, a spokesperson for the Biden campaign, said the campaign believes that Democrats will “absolutely come together” to fight against Trump in November.
“While the majority of the Democratic caucus and the diverse base of the party continues to stand with the President and his historic record of delivering for their communities, we’re clear-eyed that the urgency and stakes of beating Donald Trump means others feel differently,” Ehrenberg said in a statement. “We all share the same goal: an America where everyone gets a fair shot and freedom and democracy are protected. Unlike Republicans, we’re a party that accepts — and even celebrates — differing opinions, but in the end, we will absolutely come together to beat Donald Trump this November.”
Jen O’Malley Dillon, Biden’s campaign chair, on Friday also maintained that the president isn’t going anywhere.
“You have heard from the president directly time and again: He is in this race to win, and he is our nominee, and he’s going to be our President for a second term,” O’Malley Dillon said during an interview on MSNBC’s “Morning Joe.”Summer Concepcion is a politics reporter for NBC News."
4,FOX_10,"Sen. Joe Manchin calls on Biden to step aside, pass torch to 'a new generation'",https://www.foxnews.com/politics/sen-joe-manchin-calls-biden-step-aside-pass-torch-a-new-generation,"Fox News correspondent Christina Coleman reports as more than 35 Democrats are calling on President Biden to end his re-election bid on 'Fox News Live.'
Independent Sen. Joe Manchin of West Virginia on Sunday called on President Biden to step aside. 
""He will go down with a legacy unlike many people as one of the finest and surely a patriot, an American,"" Manchin said of Biden during an appearance on ABC's ""This Week."" ""And so with that, I come with a heavy heart to think the time has come for him to pass the torch to a new generation."" 
Manchin changed his party registration from Democrat to independent this year, though he still caucuses with the Democrats in the Senate.
ABC host Martha Raddatz asked Manchin directly if he believes Biden should step aside as the Democratic nominee. Manchin said Biden ""has the ability for the last five months of his presidency to be the president he always wanted to be, be able to unite the country, bring it back together, to be able to maybe spend all of his time on solving the problems in Gaza, bringing peace to Gaza and to the Middle East."" 
CAMPAIGN CRISIS: DEMS WHO HAVE CALLED FOR BIDEN TO DROP OUT OR RAISED CONCERNS ABOUT HIS HEALTH
From now until the end of his term, Manchin said, Biden could also ""dedicate his time to enforcing, reinforcing Ukraine's ability to defend and win their freedom, and then be able to show the rest of the world the orderly transfer of power from the superpower of the world.""
In the three weeks since Biden's disastrous debate performance against former President Donald Trump, Manchin said he ""thought the president needed time to evaluate and make a decision if he was going to at that time."" The senator also acknowledged Democratic colleagues facing competitive races in Congress or at the state-level in November who fear Biden's re-election campaign could ruin their chances. 
KAMALA HARRIS REASSURES DEMOCRATIC PARTY DONORS THAT THERE'S NOTHING TO WORRY ABOUT
With the donor class also speaking up saying ""they want a different direction,"" Manchin said he believes Biden must withdraw, noting too it's ""concerning"" to watch the 81-year-old on the campaign trail.
""It's concerning. It's concerning when you watch him. I'm concerned about the President's health and well-being, I really am,"" Manchin said. ""But when I've been talking to him, you know, I can tell when he's in a good mood. He'll say, Hey, Joe, Joe, how's it going? And when he's upset with me, he'll say, Joe, what's up? So we're still communicating the way we always have."" 
CLICK TO GET THE FOX NEWS APP
Though he believes Biden should stop his re-election campaign, Manchin said he believes Biden still has the mental acuity required to remain president for the remainder of his term. 
""I think basically he can finish this job that he started and finish the way he wanted to lead,"" Manchin said.
This is a developing story. Check back for updates.
Danielle Wallace is a reporter for Fox News Digital covering politics, crime, police and more. Story tips can be sent to danielle.wallace@fox.com and on Twitter: @danimwallace. "
